write_voltage_V,ratio_100nm_array_to_device,ratio_200nm_array_to_device,ratio_1um_array_to_device
1.0,209.35068763679433,169.15535561052982,137.53502774986836
1.5,301.41874223052173,216.18147496041516,148.6669708946824
2.0,424.98994683508,279.30210521169084,163.62112953150574
2.5,575.6553976669009,356.2649913549909,181.86330579552683
3.0,749.959165701567,444.91025102356065,202.79137762881885
3.5,939.6566500321014,542.1935236833837,225.85214868496035
4.0,1141.2744631845962,645.8860972967769,250.2721533430445
4.5,1351.476746416179,753.2221532068515,275.58952000246444
5.0,1564.6767685111806,862.091326339898,301.27623312133966
